pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,windspeed,rainfall,day_repaired_sin,day_repaired_cos,winddirection_sin,winddirection_cos
1017.4,21.2,20.6,19.9,19.4,87.0,88.0,1.1,17.2,1,0.0,1.0,0.9510565162951535,0.30901699437494745
1019.5,16.2,16.9,15.8,15.4,95.0,91.0,0.0,21.9,1,0.017260640905388498,0.9998510240408495,0.8660254037844387,0.4999999999999999
1024.1,19.4,16.1,14.6,9.3,75.0,47.0,8.3,18.1,1,0.03451613896970813,0.9994041405510704,0.9945218953682733,0.10452846326765368
1013.4,18.1,17.8,16.9,16.8,95.0,95.0,0.0,35.6,1,0.05176135288420938,0.9986594826804561,0.9510565162951535,0.30901699437494745
1021.8,21.3,18.4,15.2,9.6,52.0,45.0,3.6,24.8,0,0.06899114440432493,0.9976172723012476,0.7431448254773941,0.6691306063588582
1022.7,20.6,18.6,16.5,12.5,79.0,81.0,0.0,15.7,1,0.0862003798806194,0.9962778199420265,0.40673664307580015,0.9135454576426009
1022.8,19.5,18.4,15.3,11.3,56.0,46.0,7.6,28.4,0,0.10338393178837016,0.9946415246951927,0.40673664307580015,0.9135454576426009
1019.7,15.8,13.6,12.7,11.8,96.0,100.0,0.0,52.8,1,0.12053668025532305,0.992708874098054,0.8660254037844387,0.4999999999999999
1017.4,17.6,16.5,15.6,12.5,86.0,100.0,0.0,37.5,1,0.1376535145871682,0.9904804439875632,0.8660254037844387,0.4999999999999999
1025.4,16.5,14.4,12.0,8.6,77.0,84.0,1.0,38.3,0,0.15472933479028123,0.9879568983287464,0.8660254037844387,0.4999999999999999
1016.8,16.3,15.3,14.1,14.0,97.0,100.0,0.0,24.4,1,0.17175905309127604,0.9851389890168738,0.7431448254773941,0.6691306063588582
1012.5,16.2,15.2,14.0,12.4,98.0,100.0,0.0,23.5,1,0.18873759545291666,0.9820275556534304,0.8660254037844387,0.4999999999999999
1020.4,15.0,15.5,13.2,12.0,77.0,86.0,0.0,32.4,1,0.2056599030859366,0.9786235252959552,0.8660254037844387,0.4999999999999999
1012.5,13.5,12.9,11.6,11.8,87.0,92.0,0.0,37.0,1,0.22252093395631442,0.9749279121818236,0.8660254037844387,0.4999999999999999
1018.4,17.8,16.5,15.1,12.1,77.0,85.0,1.2,20.9,1,0.23931566428755774,0.970941817426052,0.7431448254773941,0.6691306063588582
1024.3,15.3,12.9,10.0,11.2,79.0,91.0,0.3,20.0,1,0.2560390900575471,0.9666664286932195,0.40673664307580015,0.9135454576426009
1022.5,16.3,13.1,11.4,2.0,79.0,70.0,6.8,30.3,1,0.27268622848949375,0.9621030198436006,0.40673664307580015,0.9135454576426009
1034.6,17.5,16.2,14.1,11.8,68.0,60.0,2.5,13.4,0,0.28925211953656765,0.9572529505536158,0.8660254037844387,0.4999999999999999
1024.1,16.8,15.8,14.0,12.9,76.0,77.0,0.0,20.5,1,0.30573182735975285,0.9521176659107141,0.40673664307580015,0.9135454576426009
1020.2,16.4,14.2,12.7,11.6,75.0,93.0,0.1,21.9,1,0.3221204417984906,0.946698695982806,0.7431448254773941,0.6691306063588582
1022.4,17.7,16.4,14.8,11.3,92.0,88.0,0.4,41.3,1,0.33841307983367047,0.9409976553623765,0.5877852522924731,0.8090169943749475
1022.6,21.9,17.8,15.8,14.3,52.0,49.0,9.1,10.2,0,0.3546048870425356,0.9350162426854148,0.8660254037844387,0.4999999999999999
1020.6,18.5,17.3,16.9,16.8,95.0,95.0,0.0,39.5,1,0.3706910390450675,0.9287562401253023,0.9510565162951535,0.30901699437494745
1013.0,24.8,19.9,17.1,18.1,90.0,92.0,0.0,30.4,1,0.38666674294141884,0.9222195128618104,0.9945218953682733,0.10452846326765368
1012.5,23.8,22.2,20.4,20.8,84.0,88.0,0.0,30.2,1,0.40252723873996754,0.9154080085253663,0.9945218953682733,0.10452846326765368
1019.5,25.3,22.3,21.0,20.6,76.0,78.0,10.2,10.2,1,0.4182678007755652,0.9083237566167539,0.9945218953682734,-0.10452846326765333
1013.4,23.8,21.1,19.8,19.6,92.0,95.0,0.0,15.9,1,0.4338837391175582,0.9009688679024191,0.7431448254773941,0.6691306063588582
1017.0,21.7,20.3,19.4,17.9,80.0,80.0,2.6,14.5,1,0.44937040096716124,0.8933455337855631,0.8660254037844387,0.4999999999999999
1019.9,22.9,20.9,19.2,17.3,86.0,79.0,0.6,21.4,1,0.4647231720437685,0.8854560256532099,0.8660254037844387,0.4999999999999999
1018.1,23.1,20.8,19.2,15.5,74.0,49.0,7.7,14.3,0,0.47993747795978636,0.877302694199442,0.7431448254773941,0.6691306063588582
1018.5,21.3,20.3,19.3,15.3,75.0,69.0,7.7,35.1,1,0.49500878558358136,0.8688879687250066,0.9945218953682733,0.10452846326765368
